Recurso,Sprint,Ano,Mes,Card,Prazo,Qualidade,Descricao,url,Count 
MC,161003,2016,10,57f2612eab397026a539fe2a,null,null,"Reunião de Priorização e Planejamento",https://trello.com/c/sBwrE0cX,1 
WN,161003,2016,10,57f2612eab397026a539fe2a,null,null,"Reunião de Priorização e Planejamento",https://trello.com/c/sBwrE0cX,1 
MC,161003,2016,10,57ebcc42048629dc975bfd29,null,null,"Atividades do Mês",https://trello.com/c/9ZdmX55R,1 
MC,161003,2016,10,57ebcbb311b76fcd2f22b56a,null,null,"CTIS - Apresentação Orion",https://trello.com/c/4i0CMAcB,1 
JS,161003,2016,10,57f29590e7d3a0123ac9699d,null,null,"CTIS - Quadro de Artefatos",https://trello.com/c/NwYV5SpT,1 
JS,161003,2016,10,57f26661129c5dabb034b73b,null,null,"META 1 - (Plano de Iniciação) - verificar Marcos e Julio",https://trello.com/c/qI7DofEv,1 
JS,161003,2016,10,57e96824a8139ccc8e99e51b,null,null,"META 1 - (Plano de Iniciação) - Elaborar TAP",https://trello.com/c/Gcimb4RM,1 
WN,161003,2016,10,57f274f33fe7add32fdcdd43,null,null,"Fábricas - Reunião Anexo de Documentação",https://trello.com/c/updnLhLZ,1 
MC,161003,2016,10,57f274f33fe7add32fdcdd43,null,null,"Fábricas - Reunião Anexo de Documentação",https://trello.com/c/updnLhLZ,1 
JS,161003,2016,10,57f274f33fe7add32fdcdd43,null,null,"Fábricas - Reunião Anexo de Documentação",https://trello.com/c/updnLhLZ,1 
WN,161003,2016,10,57f267d3c87805350dcd35ad,null,null,"Fábricas - Adaptar Anexo de Documentação",https://trello.com/c/OxmkGvjE,1 
WN,161003,2016,10,57e934fe8029e9b9ccc7626e,null,null,"Fábricas - Anexo de Documentação (MVP) - Cobrar Simone",https://trello.com/c/QlJQdw10,1 
MC,161003,2016,10,57f2683020a1dc942d0e6998,null,null,"Fábricas - Anexo de Metrica merge com Roteiro",https://trello.com/c/rumFyKC7,1 
JS,161003,2016,10,57f2683020a1dc942d0e6998,null,null,"Fábricas - Anexo de Metrica merge com Roteiro",https://trello.com/c/rumFyKC7,1 
WN,161003,2016,10,57f26cb3088daf293f733208,null,null,"PGA - Pasta para publicação - Cobrar Fagundes/ luciana",https://trello.com/c/3nGFiVwR,1 
MC,161003,2016,10,57ebd073eebf49694b585dcc,null,null,"Site da IplanRio pronto para ser colocado no ar (aguardando autorizo de Fabio) - SOLUTIS / LUIZ",https://trello.com/c/InYAbCyk,1 
WN,161003,2016,10,57ebd073eebf49694b585dcc,null,null,"Site da IplanRio pronto para ser colocado no ar (aguardando autorizo de Fabio) - SOLUTIS / LUIZ",https://trello.com/c/InYAbCyk,1 
MC,161003,2016,10,57f26605df3f3f9eb93370fb,null,null,"Meta Lider - Reunião Respostas aos Riscos - Reuniao Weslley (quinta e sexta ) e Monica (quarta e sexta )",https://trello.com/c/1uYa8WSQ,1 
WN,161003,2016,10,57f26605df3f3f9eb93370fb,null,null,"Meta Lider - Reunião Respostas aos Riscos - Reuniao Weslley (quinta e sexta ) e Monica (quarta e sexta )",https://trello.com/c/1uYa8WSQ,1 
